SMILES,Energy,StabilityScore,OptimizationConverged,molecular_weight,logp,tpsa,hbd,hba,fluorine_count,carbon_count,heavy_atoms,aromatic_atoms,rotatable_bonds,formal_charge
CC1CCC(F)C(F)C1F,41.4470890747112,100,True,152.081285012,2.430600000000001,0.0,0,0,3,7,10,0,0,0
FCC(F)c1ccccc1,49.22304812881414,100,True,142.059406696,2.6667000000000005,0.0,0,0,2,8,10,6,2,0
CC(F)C(F)CF,25.075469096477505,100,True,112.049984884,1.652,0.0,0,0,3,4,7,0,2,0
FC1CCCC(F)C1F,39.29533347618818,100,True,138.065634948,2.1846000000000005,0.0,0,0,3,6,9,0,0,0
CC1CCC(F)C(F)C1,40.31098984395947,100,True,134.090706824,2.4826000000000006,0.0,0,0,2,7,9,0,0,0
FC1CCCCC1F,28.98719229667959,100,True,120.07505676,2.2366,0.0,0,0,2,6,8,0,0,0
CC(F)C(F)CF,25.075469096477505,100,True,112.049984884,1.652,0.0,0,0,3,4,7,0,2,0
CCCC(F)C(F)CF,28.033577671776058,100,True,140.081285012,2.432200000000001,0.0,0,0,3,6,9,0,4,0
CCCCCC(F)C(F)CF,31.549626098751645,100,True,168.11258514,3.2124000000000015,0.0,0,0,3,8,11,0,6,0
CCCCCCC(F)CF,22.45364366585362,100,True,150.122006952,3.264400000000002,0.0,0,0,2,8,10,0,6,0
FC1CCC(F)C1F,38.02409864751607,100,True,124.049984884,1.7945000000000002,0.0,0,0,3,5,8,0,0,0
CCC(C)(C)CF,35.04651339326859,100,True,104.100128636,2.3921,0.0,0,0,1,6,7,0,2,0
Cc1cccc(F)c1,18.02158312001082,100,True,110.053178444,2.1341200000000002,0.0,0,0,1,7,8,6,0,0
CC1CCC(F)C(F)C1F,41.4470890747112,100,True,152.081285012,2.430600000000001,0.0,0,0,3,7,10,0,0,0
CCCC(F)C(F)CF,28.033577671776058,100,True,140.081285012,2.432200000000001,0.0,0,0,3,6,9,0,4,0
CCCCCCCF,11.001101522620843,100,True,118.11577869999999,2.9263000000000012,0.0,0,0,1,7,8,0,5,0
CCCCF,5.15333910116822,100,True,76.068828508,1.756,0.0,0,0,1,4,5,0,2,0
CCCC(F)C(F)CF,28.033577671776058,100,True,140.081285012,2.432200000000001,0.0,0,0,3,6,9,0,4,0
CCCCCC(F)C(F)CF,31.549626098751645,100,True,168.11258514,3.2124000000000015,0.0,0,0,3,8,11,0,6,0
CCCCCCCF,11.001101522620843,100,True,118.11577869999999,2.9263000000000012,0.0,0,0,1,7,8,0,5,0
CC(C)C(F)C(F)CF,32.624196633958455,100,True,140.081285012,2.2881,0.0,0,0,3,6,9,0,3,0
CCC(C)CF,17.444516214146113,100,True,90.084478572,2.002,0.0,0,0,1,5,6,0,2,0
CCC(F)CF,17.615548397988285,100,True,94.059406696,1.704,0.0,0,0,2,4,6,0,2,0
CCCC(F)CF,18.36182801401696,100,True,108.07505676,2.0941,0.0,0,0,2,5,7,0,3,0
